00000013	00000d94
00001035	000006ad
000006d8	000006e0
00000719	000006eb
00000719	000006eb
00000719	000006eb
0000071d	00000724
00000726	000006d3
000006d8	000006e0
00000719	000006eb
00000719	000006eb
00000719	000006eb
0000071d	00000724
00000726	000006d3
000006d8	000006e0
00000719	000006eb
00000719	000006eb
00000719	000006eb
0000071d	00000724
00000726	000006d3
000006d8	000006e0
00000719	000006eb
00000719	000006eb
00000719	000006eb
0000071d	00000724
00000726	000006d3
000006dc	0000072a
0000073f	00000747
00000754	0000075c
000007a7	00000772
000007a7	00000772
000007a7	00000772
000007ab	000007d5
000007d8	0000073a
0000073f	00000747
00000754	0000075c
000007a7	00000772
000007a7	00000772
000007a7	00000772
000007ab	000007d5
000007d8	0000073a
0000073f	00000747
00000754	0000075c
000007a7	00000772
000007a7	00000772
000007a7	00000772
000007ab	000007d5
000007d8	0000073a
0000073f	00000747
00000754	0000075c
000007a7	00000772
000007a7	00000772
000007a7	00000772
000007ab	000007d5
000007d8	0000073a
00000743	000007af
000007b7	000007df
000007ec	000007f4
00000849	000007ff
00000849	000007ff
00000849	000007ff
0000084d	00000851
0000087d	00000885
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000899	00000a44
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a58	00000ac4
00000acc	000007df
000007ec	000007f4
00000849	000007ff
00000849	000007ff
00000849	000007ff
0000084d	00000851
0000087d	00000885
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000895	0000089d
