00000013	000000d6
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
0000016f	00000106
00000127	0000001b
0000002d	00000031
0000003e	00000129
