00000010	00001af7
00001b1c	00000174
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
000001fd	0000019d
